card_id,rank_corpus,verbo,verbo_base,tiempo_id,tiempo,regularidad_tarjeta,terminacion,pronominal,patrones_tarjeta,aplicable,yo,tu,el_ella_usted,nosotros,ellos_ellas_ustedes,nota
ser__presente_indicativo,1,ser,ser,presente_indicativo,Presente,irregular,er,no,muy irregular,sí,soy,eres,es,somos,son,
ser__preterito,1,ser,ser,preterito,Pretérito,irregular,er,no,muy irregular,sí,fui,fuiste,fue,fuimos,fueron,
ser__imperfecto,1,ser,ser,imperfecto,Imperfecto,irregular,er,no,muy irregular,sí,era,eras,era,éramos,eran,
ser__futuro,1,ser,ser,futuro,Futuro,regular,er,no,,sí,seré,serás,será,seremos,serán,
ser__condicional,1,ser,ser,condicional,Condicional,regular,er,no,,sí,sería,serías,sería,seríamos,serían,
ser__presente_subjuntivo,1,ser,ser,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,muy irregular,sí,sea,seas,sea,seamos,sean,
ser__imperfecto_subjuntivo,1,ser,ser,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,muy irregular,sí,fuera,fueras,fuera,fuéramos,fueran,
ser__imperativo_afirmativo,1,ser,ser,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,muy irregular,sí,,sé,sea,seamos,sean,
ser__imperativo_negativo,1,ser,ser,imperativo_negativo,Imperativo negativo,irregular,er,no,muy irregular,sí,,no seas,no sea,no seamos,no sean,
decir__presente_indicativo,2,decir,decir,presente_indicativo,Presente,irregular,ir,no,e→i;yo→-go,sí,digo,dices,dice,decimos,dicen,
decir__preterito,2,decir,decir,preterito,Pretérito,irregular,ir,no,raíz en j,sí,dije,dijiste,dijo,dijimos,dijeron,
decir__imperfecto,2,decir,decir,imperfecto,Imperfecto,regular,ir,no,,sí,decía,decías,decía,decíamos,decían,
decir__futuro,2,decir,decir,futuro,Futuro,irregular,ir,no,raíz irregular,sí,diré,dirás,dirá,diremos,dirán,
decir__condicional,2,decir,decir,condicional,Condicional,irregular,ir,no,raíz irregular,sí,diría,dirías,diría,diríamos,dirían,
decir__presente_subjuntivo,2,decir,decir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,raíz irregular,sí,diga,digas,diga,digamos,digan,
decir__imperfecto_subjuntivo,2,decir,decir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,raíz en j,sí,dijera,dijeras,dijera,dijéramos,dijeran,
decir__imperativo_afirmativo,2,decir,decir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,muy irregular,sí,,di,diga,digamos,digan,
decir__imperativo_negativo,2,decir,decir,imperativo_negativo,Imperativo negativo,irregular,ir,no,muy irregular,sí,,no digas,no diga,no digamos,no digan,
estar__presente_indicativo,3,estar,estar,presente_indicativo,Presente,irregular,ar,no,muy irregular,sí,estoy,estás,está,estamos,están,
estar__preterito,3,estar,estar,preterito,Pretérito,irregular,ar,no,muy irregular,sí,estuve,estuviste,estuvo,estuvimos,estuvieron,
estar__imperfecto,3,estar,estar,imperfecto,Imperfecto,regular,ar,no,,sí,estaba,estabas,estaba,estábamos,estaban,
estar__futuro,3,estar,estar,futuro,Futuro,regular,ar,no,,sí,estaré,estarás,estará,estaremos,estarán,
estar__condicional,3,estar,estar,condicional,Condicional,regular,ar,no,,sí,estaría,estarías,estaría,estaríamos,estarían,
estar__presente_subjuntivo,3,estar,estar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,muy irregular,sí,esté,estés,esté,estemos,estén,
estar__imperfecto_subjuntivo,3,estar,estar,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ar,no,raíz irregular,sí,estuviera,estuvieras,estuviera,estuviéramos,estuvieran,
estar__imperativo_afirmativo,3,estar,estar,imperativo_afirmativo,Imperativo afirmativo,irregular,ar,no,muy irregular,sí,,está,esté,estemos,estén,
estar__imperativo_negativo,3,estar,estar,imperativo_negativo,Imperativo negativo,irregular,ar,no,muy irregular,sí,,no estés,no esté,no estemos,no estén,
ir__presente_indicativo,4,ir,ir,presente_indicativo,Presente,irregular,ir,no,muy irregular,sí,voy,vas,va,vamos,van,
ir__preterito,4,ir,ir,preterito,Pretérito,irregular,ir,no,muy irregular,sí,fui,fuiste,fue,fuimos,fueron,
ir__imperfecto,4,ir,ir,imperfecto,Imperfecto,irregular,ir,no,muy irregular,sí,iba,ibas,iba,íbamos,iban,
ir__futuro,4,ir,ir,futuro,Futuro,regular,ir,no,,sí,iré,irás,irá,iremos,irán,
ir__condicional,4,ir,ir,condicional,Condicional,regular,ir,no,,sí,iría,irías,iría,iríamos,irían,
ir__presente_subjuntivo,4,ir,ir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,muy irregular,sí,vaya,vayas,vaya,vayamos,vayan,
ir__imperfecto_subjuntivo,4,ir,ir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,muy irregular,sí,fuera,fueras,fuera,fuéramos,fueran,
ir__imperativo_afirmativo,4,ir,ir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,muy irregular,sí,,ve,vaya,vayamos,vayan,
ir__imperativo_negativo,4,ir,ir,imperativo_negativo,Imperativo negativo,irregular,ir,no,muy irregular,sí,,no vayas,no vaya,no vayamos,no vayan,
tener__presente_indicativo,5,tener,tener,presente_indicativo,Presente,irregular,er,no,e→ie;yo→-go,sí,tengo,tienes,tiene,tenemos,tienen,
